elevatorAddress,unloadCapacity,lat,loadCapacity,odhiRegion,propertyTypeCategory,cert,transportTypes,shortName,propertyType,capacity,lng,fullName
"55600, вул. 2-ї П\'ятирічки, буд. 66, м. Новий Буг, Миколаївська обл.",800,47.6833333,800,Миколаївська,Інші,5547,autocar,"Максим, СФГ",Приватний,11500,32.5000000,"Селянське (фермерське) господарство ""Максим"""
"92100, вул. Чкалова, буд. 85, смт. Троїцьке, Троїцький р-н., Луганська обл.",1575,49.9043333,1380,Луганська,Інші,5548,"train,autocar","Троїцьке-Агро, ТОВ",Приватний,25000,38.3080028,"Товариство з обмеженою відповідальністю ""Троїцьке-Агро"""
"30442, вул. Привокзальна, буд. 1, с. Чотирбоки, Шепетівський р-н., Хмельницька обл.",780,50.0276750,1270,Хмельницька,Інші,5549,"train,autocar","Чотирбоцьке ХПП, ПАТ",Приватний,30500,27.0260360,"Публічне акціонерне товариство ""Чотирбоцьке хлібоприймальне підприємство"""
"74000, вул. Вокзальна, буд. 43, смт. Високопілля, Херсонська обл.",300,47.4941667,400,Херсонська,Інші,5550,autocar,"Актив Трейд Компані, ТОВ (смт. Високопілля)",Приватний,17501,33.5327778,"Товариство з обмеженою відповідальністю ""Актив Трейд Компані"""
"54034, вул. 1-а Слобідська, буд. 122-В, м. Миколаїв   ",2000,46.950643,3000,Миколаївська,Інші,5551,"train,autocar","Миколаївський КХП, ПАТ",Приватний,59300,32.00635,"Публічне акціонерне товариство ""Миколаївський комбінат хлібопродуктів"" "
"92200, вул. Чапаєва, буд. 238, с-ще. Білокуракине, Білокуракинський р-н., Луганська обл.",2800,49.5380070,2800,Луганська,Інші,5552,"train,autocar","Агро СВФ, ПП (Білокуракинський елеватор)",Приватний,72000,38.7128520,"Приватне підприємство сільськогосподарська виробнича фірма ""Агро"" "
"62203, вул. Привокзальна, буд. 1, смт. Золочів, Харківська обл.",900,50.2804710,640,Харківська,Інші,5553,"train,autocar","Золочівське ХПП, ТОВ",Приватний,38100,35.9603110,"Товариство з обмеженою відповідальністю ""Золочівське хлібоприймальне підприємство"""
"08653, вул. Соборна, буд. 2, м. Фастів, Київська обл.",3500,50.076945,2500,Київська,Інші,5554,"train,autocar","Фастівське ХПП, ТОВ",Приватний,50150,29.922123,"Товариство з обмеженою відповідальністю ""Фастівське хлібоприймальне підприємство"""
"55611, вул. Ватутіна, буд. 1-Б, с. Жовтневе, Новобузький р-н., Миколаївська обл.",500,47.6883333,1500,Миколаївська,Власники 6+,5555,autocar,"Полтавське ХПП, ПрАТ (Новобузька дільниця)",Кернелл,64200,32.5758333,"Приватне акціонерне товариство ""Полтавське хлібоприймальне підприємство"""
"57263, вул. Урожайна, буд. 1, с. Шевченкове, Жовтневий р-н., Миколаївська обл.",400,46.8614630,1000,Миколаївська,Власники 6+,5556,"train,autocar","Полтавське ХПП, ПрАТ (Котлярівська дільниця)",Кернелл,44000,32.203194,"Приватне акціонерне товариство ""Полтавське хлібоприймальне підприємство"""
"35500, вул. Паркова, буд. 28, м. Радивилів, Рівненська обл.",4500,50.1333333,4800,Рівненська,Інші,5557,"train,autocar","Радивилівський елеватор, ТОВ",Приватний,50000,25.251,"Товариство з обмеженою відповідальністю ""Радивилівський елеватор"""
"26000, вул. Залізнична, буд. 45, м. Новомиргород, Кіровоградська обл.",3500,48.800313,3500,Кіровоградська,Інші,5558,"train,autocar","Новомиргородський елеватор, ПрАТ",Приватний,50000,31.674356,"Приватне акціонерне товариство ""Новомиргородський елеватор"""
"20911, вул. Орбіта, буд. 1-А, с. Вітове, Чигиринський р-н., Черкаська обл.",5000,49.1008580,5000,Черкаська,Власники 6+,5559,"autocar,barge","НІБУЛОН СП, ТОВ (філія Вітове)",Нібулон,75200,32.7525700,"Товариство з обмеженою відповідальністю сільськогосподарське підприємство ""НІБУЛОН"""
"38353, вул. Індустріальна, буд. 8, с. Рокита, Великобагачанський р-н., Полтавська обл.",1600,49.5868315,2400,Полтавська,Інші,5560,autocar,"Оріль-Лідер, ПрАТ",Приватний,32000,33.6337430,"Приватне акціонерне товариство ""Оріль-Лідер"""
"53003, вул. Цюрупи, буд. 5, с. Коломійцеве, Криворізький р-н., Дніпропетровська обл.",1200,47.9699870,3000,Дніпропетровська,Інші,5561,"train,autocar","Переробник, ПрАТ",Приватний,58700,33.5321946,"Приватне акціонерне товариство ""Переробник"""
"65003, вул. Хлібна гавань, буд. 6, м. Одеса   ",16000,46.504943,8500,Одеська,Інші,5562,"train,ship","Укрелеваторпром, ПрАТ (дільниця № 1)",Приватний,168000,30.727839,"Приватне акціонерне товариство ""Укрелеваторпром"""
"65003, вул. Чорноморського козацтва, буд. 52/1, м. Одеса",12000,46.498067,5000,Одеська,Інші,5563,"autocar,ship","Укрелеваторпром, ПрАТ (дільниця № 2)",Приватний,42000,30.72258,"Приватне акціонерне товариство ""Укрелеваторпром"""
"15400, вул. Привокзальна, буд. 14, м. Семенівка, Чернігівська обл.",600,52.1772000,500,Чернігівська,Інші,5564,"train,autocar","Семенівське ХПП, ПрАТ",Приватний,17300,32.5797000,"Приватне акціонерне товариство ""Семенівське хлібоприймальне підприємство"""
"64205, вул. Вторчерметівська, буд. 1, м. Балаклія, Харківська обл.",3400,49.4590550,1950,Харківська,Інші,5565,"train,autocar","Балаклійське ХПП, ТОВ",Приватний,42700,36.8449270,"Товариство з обмеженою відповідальністю ""Балаклійське хлібоприймальне підприємство"""
"63435, вул. Станційна, буд. 9, с. Занки, Зміївський р-н., Харківська обл.",500,49.6385036,500,Харківська,Інші,5566,"train,autocar","Строгого О.Ф., ФГ",Приватний,13000,36.4828263,Фермерське господарство Строгого Олександра Федоровича
"92800, вул. Хорунжого, буд. 1, смт. Біловодськ,  Луганська обл.",500,49.2088023,500,Луганська,Інші,5567,autocar,"Біловодський елеватор, ТОВ (Біловодська виробнича дільниця)",Приватний,23100,39.5896987,"Товариство з обмеженою відповідальністю ""Біловодський елеватор"""
"85600, пр-кт. Ворошилова, буд. 34, м. Мар\'їнка, Донецька обл.",400,47.9377351,400,Донецька,Інші,5568,autocar,"Агрофірма Агротіс, ТОВ (філія Елеватор Нікольський)",Приватний,16000,37.5003424,"Товариство з обмеженою відповідальністю ""Агрофірма ""Агротіс"""
"84302, вул. К. Маркса, буд. 4а, м. Краматорськ, Донецька обл.",1100,48.722095,1100,Донецька,Інші,5569,"train,autocar","Про Агро, ТОВ",Приватний,22500,37.538083,"Товариство з обмеженою відповідальністю ""Про Агро"""
"63200, вул. Чехова, буд. 14, смт. Нова Водолага, Нововодолазький р-н., Харківська обл.",200,49.711792,200,Харківська,Інші,5570,autocar,"Агроком Нова Водолага, ТОВ",Приватний,3500,35.878864,"Товариство з обмеженою відповідальністю ""Агроком Нова Водолага"""
"62132, вул. Гутянська, буд. 170, с. Губарівка, Богодухівський р-н., Харківська обл.",300,50.1655670,150,Харківська,Інші,5571,"train,autocar","Богодухівський ККЗ СП, ТОВ",Приватний,11000,35.3636035,"Товариство з обмеженою відповідальністю сільськогосподарське підприємство ""Богодухівський комбікормовий завод"""
"32413, вул. Лермонтова, буд. 1, смт. Дунаївці, Хмельницька обл.",2600,49.016667,4300,Хмельницька,Державні,5572,"train,autocar","Дунаєвецький КХП, ДП ДАРУ",ДАРУ,117600,26.833333,"Державне підприємство ""Дунаєвецький комбінат хлібопродуктів"" Державного агенства резерву України"
"52730, вул. Польова, буд. 33, смт. Брагинівка, Петропавлівський р-н., Дніпропетровська обл.",3000,48.4311110,3000,Дніпропетровська,Інші,5573,"train,autocar","АТ Каргілл, ТОВ",Каргілл,88000,36.4919440,"Товариство з обмеженою відповідальністю ""АТ Каргілл"""
"51658. вул. Суворова, буд. 1, смт. Новомиколаївка, Верхньодніпровський р-н., Дніпропетровська обл.",800,48.3092418,750,Дніпропетровська,Інші,5574,"train,autocar","Новомиколаївський Елеватор, ТОВ",Приватний,21700,34.8618448,"Товариство з обмеженою відповідальністю ""НОВОМИКОЛАЇВСЬКИЙ ЕЛЕВАТОР"""
"24320, вул. Сагаєва Івана, буд. 1, м. Ладижин, Вінницька обл.",7200,48.6723980,18000,Вінницька,Інші,5575,"train,autocar","Вінницька птахофабрика, ТОВ",Приватний,225000,29.2643280,"Товариство з обмеженою відповідальністю ""Вінницька птахофабрика"""
